#,关键词,法规,别称
7,,《增值税一般纳税人申请认定表》,
8,,《增值税一般纳税人货物存放场所税务登记表》,
9,,《增值税一般纳税人档案资料》,
10,,《中华人民共和国税收征收管理法》,
11,,《中华人民共和国增值税暂行条例》,
12,,《中华人民共和国发票管理办法》,
13,,《增值税纳税申报表（适用于增值税一般纳税人）》,
14,,《增值税纳税申报表附列资料（表一）、（表二）、（表三）、（表四）》,
15,,《增值税专用发票存根联明细表》,
16,,《增值税专用发票抵扣联明细表》,
17,,《资产负债表》,
18,,《损益表》,
19,,《成品油购销存情况明细表》,
20,,《增值税纳税申报表（适用于一般纳税人）》,
21,,《征税/扣税单证汇总簿封面》,
22,,《封面》,
,,,
1,质保期,《建设工程质量管理条例》,
,,,
1,商品房,《住宅设计规范》,
2,,《全国住宅小区智能化系统示范工程建设要点与技术导则》,
3,,《导则》,
4,,《国有土地使用证》,
5,,《建设工程规划许可证》,
6,,《建设用地规划许可证》,
7,,《建筑工程施工许可证》,
8,,《商品房销售(预售)许可证》,
9,,《建设工程施工许可证》,
10,,《住宅质量保证书》,
11,,《住宅使用说明书》,
12,,《住宅质《建设用地规划许可证》,
13,,《住宅使用《商品房销售(预售)许可证》,
14,,《城市房地产开发管理暂行办法》,
15,,《房地产开发企业资质等级证书》,
16,,《商品房预售许可证》,
17,,《商品房销售许可证》,
18,,《企业法人营业执照》,
19,,《营业执照》,
20,,《房地产开发企业资质管理规定》,
21,,《商品房销售管理办法》,
22,,《中华人民共和国城市房地产管理法》,
23,,《城市房地产开发经营管理条例》,
24,,《城市商品房预售管理办法》,
25,,《中华人民共和国担保法》,
26,,《城市房地产抵押管理办法》,
27,,《中华人民共和国广告法》,
28,,《房地产广告发布暂行规定》,
29,,《商品房买卖合同示范文本》,
30,,《商品住宅实行质量保证书和住宅使用说明书制度的规定》,
31,,《规定》,
32,,《建设工程质量管理条例》,
33,,《城市房地产管理法》,
34,,《商品房销售明码标价规定》,
35,,《国务院关于坚决遏制部分城市房价过快上涨的通知》,
36,,《中华人民共和国价格法》,
37,,《关于商品和服务实行明码标价的规定》,
38,,《价格违法行为行政处罚规定》,
39,,《禁止价格欺诈行为的规定》,
,,,
1,国税函[2009]698,,
,,,
1,国税发[2004]136号,,
,,,
1,建设项目竣工环境保护验收管理办法,《建设项目环境保护管理条例》,
2,,《建设项目竣工环境保护验收管理办法》,
3,,《国务院办公厅关于做好规章清理工作有关问题的通知》,
4,,《关于废止、修改部分环保部门规章和规范性文件的决定》,
5,,《排放污染物申报登记管理规定》,
6,,《中华人民共和国水污染防治法》,
7,,《中华人民共和国大气污染防治法》,
8,,《中华人民共和国固体废物污染环境防治法》,
9,,《建设项目环境保护设施竣工验收规定》,
,,,
1,职务发明,《专利法实施细则》,
,,,
1,行政处罚,《行政处罚法》,
2,,《中共中央关于全面深化改革若干重大问题的决定》,
3,,《海关行政处罚实施条例》,
4,,《治安管理处罚法》,
5,,《税收征管法》,
6,,《中华人民共和国行政处罚法》,
7,,《中华人民共和国道路交通管理条例》,
8,,《投机倒把行政处罚暂行条例》,
9,,《关于价格违法行为的处罚规定》,
10,,《价格法》,
11,,《立法法》,
12,,《通信行政处罚程序规定》,
13,,《行政处罚意见告知书》,
14,,《行政处罚听证会通知书》,
15,,《行政处罚听证会报告书》,
,,,
1,外商投资创业投资企业,,
,,,
1,国税发 2008 28,,
,,,
1,电信业务经营许可管理办法,《电信业务经营许可管理办法》,
2,,《电信业务经营许可证管理办法》,
3,,《中华人民共和国电信条例》,
4,,《基础电信业务经营许可证》,
5,,《增值电信业务经营许可证》,
6,,《跨地区增值电信业务经营许可证》,
7,,《外商投资电信企业管理规定》,
8,,《年检和违法记录》,
,,,
1,财税[2005]165号,,
,,,
1,服务贸易,《中国知识型服务贸易研究报告》,
2,,《服务贸易总协定》,
,,,
1,外商投资企业境内投资的暂行规定,,
,,,
1,中华人民共和国商业银行法,《全国人民代表大会常务委员会关于修改的决定》,
2,,《中华人民共和国公司法》,
3,,《中华人民共和国中国人民银行法》,
4,,《中华人民共和国行政诉讼法》,
,,,
1,双重征税,,
,,,
1,< 特别纳税调整实施办法（试行）,,
,,,
1,金融企业 国有资产转让,,
,,,
1,国务院关于解决城市低收入家庭住房困难的若干意见,《关于解决城市低收入家庭住房困难的若干意见》,
2,,《意见》,
3,,《政府工作报告》,
4,,《国务院办公厅转发建设部等部门关于调整住房供应结构稳定住房价格意见的通知》,
,,,
1,拍卖 执行,,
,,,
1,行贿 银行,,
,,,
1,租赁 境外担保,,
,,,
1,录音录像制作者 比例,,
,,,
1,大市政配套费,,
,,,
1,跨区域经营试点 小额,,
,,,
1,孙某某盗窃罪案,,
,,,
1,计算计算股权转让所得,,
,,,
1,城建税 教育费附加,,
,,,
1,债转股 税,,
,,,
1,澳大利亚,《威斯敏斯特法案》,
2,,《澳大利亚宪法》,
3,,《澳新美安全条美国总统奥巴马和澳大利亚总理阿博特约》,
4,,《澳新美安全条约》,
5,,《澳美联合训练中心备忘录》,
6,,《澳大利亚—印尼安全合作框架协定》,
7,,《无期徒刑》,
8,,《库纳尔杜》,
9,,《卡布里康尼亚》,
10,,《可怜的家伙，我的故乡》,
11,,《泰晤士报》,
12,,《纽约邮报》,
13,,《澳大利亚人报》,
14,,《悉尼先驱晨报》,
15,,《世纪报》,
16,,《金融评论报》,
17,,《堪培拉时报》,
18,,《澳大利亚妇女周刊》,
19,,《公报》,
20,,《澳大利亚，前进》,
21,,《天佑我王》,
22,,《天佑女王》,
,,,
1,医疗机构,《医疗机构管理条例》,
2,,《医疗机构管理条例实施细则》,
3,,《医疗机构执业许可证》,
4,,《医疗机构基本标准（试行）》,
5,,《医师、中医师个体开业暂行管理办法》,
6,,《中医人员个体开业管理补充规定》,
7,,《关于对现有民间中医一技之长人员进行复核有关问题的通知》,
,,,
1,增值税 实施细则,,
,,,
1,北京市劳动合同规定,,
,,,
1,实习,《山村女接生员》,
2,,《水滴石穿》,
,,,
1,企业会计准则 基本准则,《企业会计准则——基本准则》,
2,,《企业会计准则》,
3,,《编报财务报表的框架》,
4,,《立法法》,
5,,《应用指南》,
,,,
1,财政部关于企业加强职工福利费财务管理的通知,,
,,,
1,关于企业境外所得税收抵免有关问题的通知,,
,,,
1,财政部关于印发《企业会计制度》的通知,,
,,,
1,关于全国实施增值税转型改革若干问题的通知,,
,,,
1,分包,《中华人民共和国建筑法》,
2,,《中华人民共和国招标投标法》,
3,,《建设工程质量管理条例》,
4,,《房屋建筑和市政基础设施工程施工分包管理办法》,
5,,《中国人民共和国建筑法》,
,,,
1,一般纳税人,《条例》,
2,,《财政部 国家税务总局关于在上海市开展交通运输业和部分现代服务业营业税改征增值税试点的通知》,
3,,《增值税条例》,
4,,《国家税务总局关于北京等8省市营业税改征增值税试点增值税一般纳税人资格认定有关事项的公告》,
5,,《申请认定表》,
6,,《税务事项通知书》,
7,,《增值税一般纳税人申请认定表》,
8,,《增值税一般纳税人货物存放场所税务登记表》,
9,,《增值税一般纳税人档案资料》,
10,,《中华人民共和国税收征收管理法》,
11,,《中华人民共和国增值税暂行条例》,
12,,《中华人民共和国发票管理办法》,
13,,《增值税纳税申报表（适用于增值税一般纳税人）》,
14,,《增值税纳税申报表附列资料（表一）、（表二）、（表三）、（表四）》,
15,,《增值税专用发票存根联明细表》,
16,,《增值税专用发票抵扣联明细表》,
17,,《资产负债表》,
18,,《损益表》,
19,,《成品油购销存情况明细表》,
20,,《增值税纳税申报表（适用于一般纳税人）》,
21,,《征税/扣税单证汇总簿封面》,
22,,《封面》,
,,,
1,企业工资支付办法,,
,,,
1,审计,《序》,
2,,《救灾议》,
3,,《哭阮啸仙贺昌同志》,
4,,《建炎以来朝野杂记·官制一·六院官》,
5,,《文献通考·职官十四》,
6,,《中华人民共和国宪法》,
7,,《中华人民共和国审计法实施条例》,
8,,《基本审计概念说明》,
9,,《审计法》,
10,,《中华人民共和国审计法》,
11,,《保密法》,
12,,《档案法》,
13,,《信访工作条例》,
,,,
1,财税[2001]157号,,
,,,
1,中华人民共和国婚姻法,《中华人民共和国婚姻法》,
2,,《关于适用；若干问题的解释（一）》,
3,,《关于适用；若干问题的解释（二）》,
4,,《婚姻法解释（三）》,
5,,《最高人民法院关于民事诉讼证据的若干规定》,
6,,《婚姻法司法解释（二）》,
7,,《关于修改的决定》,
8,,《中华人民共和国民事诉讼法》,
9,,《婚姻登记管理条例》,
10,,《关于确定民事侵权精神损害赔偿责任若干问题的解释》,
11,,《中华人民共和国个人独资企业法》,
12,,《婚姻法》,
13,,《婚姻法解释（一）》,
,,,
1,食品,《食品安全法》,
2,,《食品工业基本术语》,
3,,《旸谷漫录》,
4,,《清异录·虚飣玲珑石镇羊》,
5,,《陈奂生转业》,
6,,《新民晚报》,
7,,《中华人民共和国食品安全法》,
8,,《绿色食品产地环境质量标准》,
9,,《寂静的春天》,
10,,《绿色食品标志设计标准手册》,
11,,《食品卫生法》,
12,,《食品添加剂使用卫生标准》,
,,,
1,信托公司集合资金信托计划管理办法,《中国银行业监督管理委员会关于修改〈信托公司集合资金信托计划管理办法〉的决定》,
2,,《中华人民共和国信托法》,
3,,《中华人民共和国银行业监督管理法》,
4,,《信托投资公司资金信托管理暂行办法》,
,,,
1,现行有效 与 (全国 或 上海市,,
,,,
1,关于审理涉台,,
,,,
1,教育费附加 沈阳,,
,,,
1,停车场,,
,,,
1,模具摊销,,
,,,
1,中德社保,,
,,,
1,分公司转让,,
,,,
1,价格调节基金 矿,,
,,,
1,"注册资本, 施工, 招标",,
,,,
1,游戏机,《运河大战》,
2,,《潜艇救人》,
3,,《打螃蟹》,
4,,《拳击》,
5,,《机器人大战》,
6,,《警察捉小偷》,
7,,《高尔夫球》,
8,,《排球》,
9,,《捕鱼机》,
10,,《绝对合体》,
11,,《凄之王传说》,
12,,《改造超人》,
13,,《死灵战线》,
14,,《城市猎人》,
15,,《战斧》,
16,,《兽王记》,
17,,《忍》,
18,,《世界末日》,
19,,《第一滴血Ⅲ》,
20,,《闪电出击》,
21,,《究极虎》,
22,,《超级马利》,
23,,《VR战士》,
24,,《Final FantasyVII》,
25,,《Dragon Quest VII》,
26,,《生化危机》,
27,,《Halo 2》,
28,,《Final Fantasy VII》,
,,,
1,云计算,《关于下一代互联网“十二五”发展建设的意见》,
,,,
1,企业所得税实施条例细则,《中华人民共和国国营企业所得税条例（草案）》,
2,,《国营企业调节税征收办法》,
3,,《中华人民共和国集体企业所得税暂行条例》,
4,,《中华人民共和国私营企业所得税暂行条例》,
5,,《中华人民共和国企业所得税暂行条例》,
6,,《中华人民共和国企业所得税法实施条例》,
7,,《中华人民共和国外商投资企业和外国企业所得税法实施细则》,
8,,《中华人民共和国企业所得税暂行条例实施细则》,
9,,《中华人民共和国企业所得税法实施条例[1] 》,
10,,《中华人民共和国民族区域自治法》,
11,,《中华人民共和国税收征收管理法》,
,,,
1,产品质量责任,《民事诉讼法（试行）》,
2,,《产品质量法》,
3,,《合同法》,
4,,《民法通则》,
5,,《工矿品购销合同条例》,
6,,《购销条例》,
7,,《部分国产家用电器“三包”规定》,
8,,《规定》,
9,,《工业产品质量责任条例》,
10,,《经济合同法》,
,,,
1,合同法 解释,,
,,,
1,上海 房产税,,
,,,
1,划拨土地使用权管理暂行办法,《中华人民共和国城镇国有土地使用权出让和转让暂行条例》,
2,,《条例》,
3,,《划拨土地使用权管理暂行办法》,
4,,《中划拨土地应当提交下列证明文件华人民共和国行政诉讼法》,
5,,《城镇国有土地使用权出让和转让暂行条例》,
6,,《中华人民共和国城镇土地使用税暂行条例》,
7,,《城市房地产管理法》,
,,,
1,国税发 2009 124,,
,,,
1,信托公司,《中华人民共和国公司法》,
2,,《信托投资公司管理办法》,
3,,《信托公司管理办法》,
4,,《信托公司集合资金信托计划管理办法》,
5,,《证券日报》,
6,,《信托法》,
,,,
1,国税发 2009 3号,,
,,,
1,土地管理法实施条例,《中华人民共和国土地管理法》,
2,,《土地管理法》,
3,,《集体土地所有证》,
4,,《国有土地使用证》,
5,,《森林法》,
6,,《草原法》,
7,,《渔业法》,
8,,《土地复垦规定》,
9,,《中华人民共和国统计法》,
10,,《中华人民共和国统计法实施细则》,
,,,
1,投资公司,《公司法》,
,,,
1,中华人民共和国道路运输条例,《中华人民共和国道路运输条例》,
2,,《国务院关于修改和废止部分行政法规的决定》,
3,,《条例》,
4,,《中华人民共和国道路交通安全法》,
,,,
1,最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释,《中华人民共和国民法通则》,
2,,《中华人民共和国民事诉讼法》,
3,,《国家赔偿法》,
4,,《工伤保险条例》,
5,,《最高人民法院关于确定民事侵权精神损害赔偿责任若干问题的解释》,
,,,
1,中华人民共和国外资银行管理条例,《中华人民共和国外资银行管理条例》,
2,,《国务院关于修改部分行政法规的决定》,
3,,《国务院关于修改〈中华人民共和国外资银行管理条例〉的决定》,
4,,《条例》,
5,,《中华人民共和国外资金融机构管理条例》,
6,,《中华人民共和国商业银行法》,
,,,
1,会协[2011]104号,,
,,,
1,经营期限 与 五十年) 与 全国,,
,,,
1,company law People's Republic of China,,
,,,
1,（租赁 与 飞机 与 进口 与 关税) 与 现行有效 与 全国,,
,,,
1,专利转让,,
,,,
1,新三板,《国务院关于全国中小企业股份转让系统有关问题的决定》,
2,,《国务院决定》,
3,,《每日经济新闻》,
4,,《人民币银行结算账户管理办法》,
,,,
1,折扣销售,《增值税若干具体问题的规定》,
,,,
1,《关于企业境外所得税收抵免有关问题的通知》,,
,,,
1,继承,《列宁选集》,
2,,《汉穆拉比法典》,
3,,《周礼》,
4,,《礼记》,
5,,《唐律疏议·户婚律》,
6,,《马克思恩格斯全集》,
7,,《法国民法典》,
8,,《俄罗斯联邦民法典》,
9,,《苏联和各加盟共和国民事立法纲要》,
10,,《大清民律（草案）》,
11,,《法国民法》,
12,,《中华人民共和国继承法》,
13,,《继承法》,
14,,《关于贯彻执行若干问题的意见》,
,,,
1,国家税务总局关于在中国境内无住所的个人执行税收协定和个人所得税法若干问题的通知,,
,,,
1,资本项目外汇业务操作规程,,
,,,
1,走私,《拟设洋药总司议》,
2,,《南行记·我的旅伴》,
3,,《旅途见闻》,
4,,《中华人民共和国海关法》,
5,,《海关法》,
6,,《工商行政管理机关对走私贩私行为处罚的暂行规定》,
7,,《货物进口证明书》,
8,,《没收走私汽车、摩托车证明书》,
,,,
1,企业会计准则讲解,《企业会计准则讲解》,
2,,《讲解》,
3,,《企业会计准则讲解2008》,
4,,《企业会计准则讲解2010》,
5,,《企业会计准则第2号——长期股权投资》,
6,,《企业会计准则解释第4号》,
7,,《国际会计准则第28号——对联营企业的投资》,
8,,《国际会计准则第31号——合营中的权益》,
9,,《企业会计准则第22号——金融工具确认和计量》,
10,,《国际财务报告准则第5号——持有待售非流动资产和终止经营》,
11,,《国际会计准则第39号——金融工具：确认和计量》,
12,,《企业会计准则解释第1号》,
13,,《企业会计准则第20号——企业合并》,
14,,《财政部关于执行企业会计准则的上市公司和非上市企业做好2010年年报工作的通知》,
15,,《2010年上市公司年度报告披露的最新要求对年审的影响》,
16,,《国际财务报告准则第3号——企业合并》,
17,,《企业会计准则第36号——关联方披露》,
18,,《企业会计准则第37号——金融工具列报》,
19,,《国际财务报告准则第7号——金融工具：列报》,
20,,《关于执行企业会计准则的上市公司和非上市企业做好2010年年报工作的通知》,
,,,
1,合作协议,,
,,,
1,汇兑损益,《关于外汇管理体制改革后企业外币业务会计处理的规定》,
2,,《关于对汇率并轨后合资双方汇率折算问题的意见》,
3,,《企业财务通则》,
,,,
1,税收征收管理办法,,
,,,
1,刑事,,
,,,
1,避免双重征税协定,,
,,,
1,证券公司监督管理条例,《中华人民共和国公司法》,
2,,《公司法》,
3,,《中华人民共和国证券法》,
4,,《证券法》,
5,,《证券公司监督管理条例》,
,,,
1,企业手续费及佣金支出税前扣除政策的通知,,
,,,
1,乌鲁木齐 政府投资项目管理办法,,
,,,
1,美容连锁机构税收,,
,,,
1,外籍个人 港、澳,,
,,,
1,体育旅游,《首都体育学院学报》,
2,,《泰山学院学报》,
3,,《河北体育学院学报》,
4,,《西南民族大学学报(人文社科版)》,
5,,《中国西部科技》,
6,,《沈阳体育学院学报》,
7,,《紫荆》,
8,,《中国不会出现“奥运后的滑坡”》,
,,,
1,收益权,,
,,,
1,房产税试点,《上海市开展对部分个人住房征收房产税试点的暂行办法》,
2,,《中华人民共和国税收征收管理法》,
3,,《重庆市人民政府关于进行对部分个人住房征收房产税改革试点的暂行办法》,
4,,《暂行办法》,
5,,《房地产蓝皮书》,
6,,《关于深化收入分配制度改革若干意见》,
7,,《关于2012年深化经济体制改革重点工作的意见》,
8,,《关于2013年深化经济体制改革重点工作的意见》,
9,,《中华人民共和国税收征收管理暂行条例》,
,,,
1,事业单位 设备进口,,
,,,
1,股权转让 价值,,
,,,
1,城市绿化工程施工及验收规范,,
,,,
1,涉外民事关系法律适用法,《政法论坛》,
2,,《比较法研究》,
3,,《法制与社会发展》,
4,,《法学》,
5,,《清华法学》,
6,,《涉外民事关系法律适用法》,
7,,《中国国际私法立法问题研究》,
,,,
1,对冲,《量化投资—策略与技术》,
,,,
1,国家税务总局关于加强土地增值税征管工作的通知,,
,,,
1,合作开发,,
,,,
1,合同法解释三,,
,,,
1,财税字[1999]273,,
,,,
1,利息收入 营业税,,
,,,
1,中国新加坡税收协定,,
,,,
1,外商投资法,,
,,,
1,三来一补,,
,,,
1,合资企业法,,
,,,
1,居民纳税人,《中华人民共和国个人所得税法实施条例》,
,,,
1,国务院关于经营者集中申报标准的规定,《国务院关于经营者集中申报标准的规定》,
,,,
1,上海市房屋租赁条例,《上海市房屋租赁条例》,
2,,《中华人民共和国合同法》,
3,,《中华人民共和国城市房地产管理法》,
4,,《中华人民共和国行政诉讼法》,
5,,《上海市城镇公有房屋管理条例》,
,,,
1,政府补贴,,
,,,
1,增值税一般纳税人申请认定办法,,
,,,
1,劳动人事争议仲裁,,
,,,
1,实习生 个人所得税,,
,,,
1,行政强制法,《中华人民共和国行政强制法》,
2,,《中华人民共和国行政处罚法》,
3,,《中华人民共和国民事诉讼法》,
4,,《中华人民共和国拍卖法》,
5,,《中华人民共和国行政强制法（草案）》,
6,,《行政强制法》,
7,,《行政诉讼法》,
,,,
1,特殊税务处理,,
,,,
1,担保费,,
,,,
1,中国 新加坡,,
,,,
1,快递,《快递服务》,
2,,《快递市场管理办法》,
3,,《快件跟踪查询信息服务规范》,
4,,《邮政法》,
,,,
1,印花税实施细则,,
,,,
1,企业重组业务企业所得税,,
,,,
1,个人所得税 代扣代缴,,
,,,
1,企业所得税 实施条例,,
,,,
1,拍卖管理办法,《拍卖管理办法》,
2,,《中华人民共和国拍卖法》,
3,,《拍卖法》,
4,,《企业名称预先核准通知书》,
5,,《中华人民共和国拍卖师执业资格证书》,
,,,
1,外商投资股权投资,,
,,,
1,太阳能,《里约热内卢环境与发展宣言》,
2,,《21世纪议程》,
3,,《联合国气候变化框架公约》,
4,,《中国21世纪议程》,
5,,《新能源和可再生能源发展纲要》,
6,,《哈拉雷太阳能与持续发展宣言 》,
7,,《世界太阳能10年行动计划》,
8,,《国际太阳能公约》,
9,,《世界太阳能战略规划》,
10,,《可再生资源中长期发展规划》,
11,,《太阳能光电建筑应用财政补助资金管理暂行办法》,
12,,《十二五新能源规划纲要》,
13,,《太阳能发电科技发展“十二五”专项规划》,
14,,《太阳能发电发展“十二五”规划》,
15,,《可再生能源发展“十二五”规划》,
16,,《可再生能源法》,
,,,
1,天然气,《天然气商品量管理暂行办法》,
2,,《关于改革天然气出厂价格形成机制及近期适当提高天然气出厂价格的通知》,
3,,《国家发改委关于提高国产陆上天然气出厂基准价格的通知》,
4,,《国家发展改革委关于在广东省、广西自治区开展天然气价格形成机制改革试点的通知》,
5,,《国家发展改革委关于调整天然气价格的通知》,
6,,《工业企业煤气安全规程》,
7,,《生产许可证》,
8,,《中华人民共和国治安管理处罚法》,
9,,《中华人民共和国行政诉讼法》,
,,,
1,危险化学品名录,,
,,,
1,外商投资建筑业企业管理规定,《外商投资建筑业企业管理规定》,
2,,《中华人民共和国建筑法》,
3,,《中华人民共和国招标投标法》,
4,,《中华人民共和国中外合资经营企业法》,
5,,《中华人民共和国中外合作经营企业法》,
6,,《中华人民共和国外资企业法》,
7,,《建设工程质量管理条例》,
8,,《建筑业企业资质管理规定》,
9,,《外国企业承包工程资质证》,
10,,《在中国境内承包工程的外国企业资质管理暂行办法》,
11,,《关于设立外商投资建筑业企业的若干规定》,
,,,
1,免 抵 退,《财政部、国家税务总局关于进一步推进出口货物实行免抵退税办法的通知》,
2,,《中华人民共和国税收征收管理法》,
3,,《中华人民共和国增值税暂行条例》,
4,,《增值税纳税申报表》,
,,,
1,食品生产许可证,《食品安全法》,
2,,《中华人民共和国行政许可法》,
3,,《食品生产许可证》,
4,,《中华人民共和国工业产品生产许可证管理条例》,
5,,《工业产品生产许可证试行条例》,
6,,《工业产品生产许可证管理办法》,
7,,《加强食品质量安全监督管理工作实施意见》,
8,,《中华人民共和国工业产品生产许可证管理条例实施办法》,
9,,《财务部、国家计委关于调整工业产品生产许可证审查费等收费项目归属部门等问题的通知》,
10,,《国家物价局、财政部门关于发布的通知》,
11,,《实施细则》,
12,,《远诚咨询在线》,
13,,《食品生产许可证申请书》,
14,,《不予行政许可决定书》,
,,,
1,经营租入固定资产改良,,
,,,
1,隐私权,《牛津法律大辞典》,
2,,《法学评论》,
3,,《隐私权》,
4,,《公开签账账单法》,
5,,《隐私权法》,
6,,《家庭教育及隐私权法》,
7,,《财务隐私权法》,
8,,《联邦数据保护法》,
9,,《世界人权宣言》,
10,,《公民权利和政治权利国际公约》,
11,,《反对不正当竞争法》,
12,,《民法通则》,
13,,《侵权责任法》,
14,,《广州日报》,
15,,《刑法》,
,,,
1,中华人民共和国海关对报关单位注册登记管理规定,《中华人民共和国海关报关单位注册登记管理规定》,
2,,《中华人民共和国海关对报关单位注册登记管理规定》,
3,,《中华人民共和国海关法》,
4,,《海关法》,
5,,《报关单位注册信息年度报告》,
6,,《报关单位情况登记表》,
7,,《中华人民共和国海关报关单位注册登记证书》,
8,,《　中华人民共和国海关行政处罚实施条例》,
,,,
1,证监会,《中华人民共和国证券法》,
2,,《期货交易管理条例》,
3,,《中国证券监督管理委员会机构编制方案》,
4,,《中国证券监督管理委员会职能配置、内设机构和人员编制规定》,
,,,
1,中华人民共和国合伙企业法,《中华人民共和国合伙企业法》,
,,,
1,中国-新加坡自贸协定,,
,,,
1,营业税 行业分类 房地产,,
,,,
1,国有 与 中外合资,,
,,,
1,最高人民法院审理不正当竞争民事案件适用法律的若干意见,,
,,,
1,财税[2012]86号,,
,,,
1,股权转让 增值税,,
,,,
1,交通运输业和部分现代服务业营业税改征增值税试点过渡政策的规定,《交通运输业和部分现代服务业营业税改征增值税试点过渡政策的规定》,
2,,《规定》,
3,,《财政部 国家税务总局关于在上海市开展交通运输业和部分现代服务业营业税改征增值税试点的通知》,
4,,《财政部 国家税务总局关于应税服务适用增值税零税率和免税政策的通知》,
5,,《财政部 国家税务总局关于交通运输业和部分现代服务业营业税改征增值税试点若干税收政策的通知》,
6,,《财政部 国家税务总局关于交通运输业和部分现代服务业营业税改征增值税试点若干税收政策的补充通知》,
7,,《财政部 国家税务总局关于在北京等8省市开展交通运输业和部分现代服务业营业税改征增值税试点的通知》,
8,,《财政部 国家税务总局关于交通运输业和部分现代服务业营业税改征增值税试点应税服务范围等若干税收政策的补充通知》,
9,,《财政部 国家税务总局关于营业税若干政策问题的通知》,
10,,《合同能源管理技术通则》,
11,,《节能效益分享型》,
12,,《中华人民共和国合同法》,
13,,《海峡两岸空运协议》,
14,,《海峡两岸空运补充协议》,
15,,《国务院办公厅转发民政部等部门关于扶持城镇退役士兵自谋职业优惠政策意见的通知》,
16,,《退役士兵自谋职业协议书》,
17,,《城镇退役士兵自谋职业证》,
18,,《就业失业登记证》,
19,,《高校毕业生自主创业证》,
20,,《应税服务范围注释》,
21,,《就业服务与就业管理规定》,
22,,《再就业优惠证》,
23,,《财政部 国家税务总局关于促进残疾人就业税收优惠政策的通知》,
,,,
1,母子公司,,
,,,
1,听证,《中华人民共和国行政处罚法》,
2,,《联邦行政程序法》,
3,,《行政处罚法》,
,,,
1,2010 75,,
,,,
1,土地利用现状分类,,
,,,
1,中国和香港税收协定,,
,,,
1,航空,《美国破产法》,
2,,《中国民用航空发展第十二个五年规划》,
,,,
1,国税发 2009 3,,
,,,
1,组织机构代码证,《组织机构代码管理办法》,
2,,《全国组织机构代码编制规则》,
3,,《办法》,
4,,《中华人民共和国组织机构代码证》,
5,,《代码证》,
6,,《开业准许通知书》,
7,,《中华人民共和国组织机构代码证集成电路IC卡技术规范》,
,,,
1,合作建房,《深圳市城市更新办法》,
2,,《城镇住宅合作社管理暂行办法》,
,,,
1,关于企业资产损失税前扣除政策的通知,,
,,,
1,外籍人员,,
,,,
1,煤层气,《煤层气产业政策》,
2,,《我国煤层气开发利用战略研究》,
3,,《中国煤层气勘查资源市场前瞻与投资前景分析报告前瞻》,
4,,《煤层气（煤矿瓦斯）开发利用“十一五”规划》,
5,,《煤层气开发利用“十二五”发展规划》,
6,,《中华人民共和国矿产资源法》,
7,,《矿产资源勘查区块登记管理办法》,
8,,《中华人民共和国对外合作开采陆上石油资源条例》,
9,,《能源发展战略行动计划(2014-2020年)》,
10,,《煤层气勘探开发行动计划》,
,,,
1,城市房地产税,《城市房地产税暂行条例》,
2,,《房产税暂行条例》,
3,,《全国税政实施要则》,
4,,《中华人民共和国城市房地产税暂行条件》,
5,,《中华人民共和国城市房地产税暂行条例》,
6,,《中华人民共和国税收征收管理暂行条例》,
7,,《关于检发、的通知》,
8,,《中华人民共和国房产税暂行条例》,
9,,《中华人民共和国城镇土地使用税暂行条例》,
10,,《条例》,
,,,
1,东社办 2010 44,,
,,,
1,代扣代缴境外营业税 时间,,
,,,
1,优惠原产地管理规定,,
,,,
1,Administrative Regulations of the People's Republic of China on Renminbi,,
,,,
1,高原补贴,,
,,,
1,农产品销售 免增值税,,
,,,
1,交易取消 退税,,
,,,
1,月平均 22.5天,,
,,,
1,教育 广告 用语,,
,,,
1,Implementing Regulations of the Customs of the People's Republic of China for Administrative Punishments,,
,,,
1,竞业 连带责任,,
,,,
1,融资租赁 项目公司,,
,,,
1,拖航,,
,,,
1,国家秘密 与 全国,,
,,,
1,企业印章,,
,,,
1,开展2012年税收专项检查工作的通知,,
,,,
1,增值率 加工企业,,
,,,
1,非金融企业,,
,,,
1,外商鼓励类税收优惠,,
,,,
1,进口农业设备,,
,,,
1,道路运输 货物,,
,,,
1,诉讼管辖,《民事诉讼法》,
2,,《意见》,
,,,
1,股息受益所有人,,
,,,
1,进出口 化学产品,,
,,,
1,预包装食品标签通则,《预包装食品标签通则》,
2,,《预包装食品标签通用标准》,
3,,《食品标签》,
4,,《食品标签通用标准》,
5,,《预包装饮料酒标签通则》,
6,,《预包装特殊膳食用食品标签通则》,
,,,
1,增值税一般纳税人纳税辅导期管理办法,《增值税一般纳税人纳税辅导期管理办法》,
2,,《增值税一般纳税人资格认定管理办法》,
3,,《国民经济行业分类》,
4,,《税务事项通知书》,
5,,《税务稽查处理决定书》,
6,,《稽核结果导出工具》,
7,,《稽核结果通知书》,
8,,《增值税纳税申报表附列资料（表二）》,
9,,《稽核比对结果通知书》,
10,,《增值税纳税申报表》,
11,,《国家税务总局关于加强新办商贸企业增值税征收管理有关问题的紧急通知》,
12,,《国家税务总局关于辅导期一般纳税人实施“先比对、后扣税”有关管理问题的通知》,
13,,《国家税务总局关于加强新办商贸企业增值税征收管理有关问题的补充通知》,
14,,《国家税务总局关于辅导期增值税一般纳税人增值税专用发票预缴增值税有关问题的通知》,
15,,《偷税与反偷税博弈》,
