keyword,original terms,new terms,same
股票期权 专用账户,股票 / 期权 / 专用 / 账户,股票期权 / 专用 / 账户,N
出口销售 所得税,出口 / 销售 / 所得税,出口 / 销售 / 所得税,Y
国际税收惯例：所得税,国际 / 税收 / 惯例 / 所得税,国际 / 税收 / 惯例 / 所得税,Y
公益性公墓,公益性 / 公墓,公益性 / 公墓,Y
"外资企业"" ""企业发展基金",外资 / 企业 / 企业 / 发展 / 基金,外资 / 企业 / 企业 / 发展 / 基金,Y
拒绝消费者,拒绝 / 消费者,拒绝 / 消费者,Y
呆账核销 银监会,呆账 / 核销 / 银监会,呆账 / 核销 / 银监会,Y
廉租,廉租,廉 / 租,N
固定资产 增值,固定 / 资产 / 增值,固定资产 / 增值,N
有限公司 股东变更,有限 / 公司 / 股东 / 变更,有限公司 / 股东 / 变更,N
中外合资基金管理公司设股东,中外 / 合资 / 基金 / 管理 / 公司 / 设 / 股东,中外合资 / 基金 / 管理 / 公司 / 设 / 股东,N
差旅费 所得税 扣除,差旅费 / 所得税 / 扣除,差旅费 / 所得税 / 扣除,Y
基金分红 与 所得税,基金 / 分红 / 与 / 所得税,基金 / 分红 / 与 / 所得税,Y
代收代付 税,代收 / 代付 / 税,代收 / 代付 / 税,Y
评估 股权评估,评估 / 股权 / 评估,评估 / 股权 / 评估,Y
外资银行 清算,外资 / 银行 / 清算,外资 / 银行 / 清算,Y
证券机构 与 债券,证券 / 机构 / 与 / 债券,证券 / 机构 / 与 / 债券,Y
上海市高级人民法院 调解,上海 / 市 / 高级 / 人民 / 法院 / 调解,上海市 / 高级 / 人民法院 / 调解,N
新纪元帽业有限公司,新纪元 / 帽业 / 有限 / 公司,新纪元 / 帽 / 业 / 有限公司,N
北京市融资担保公司管理暂行办法,北京 / 市 / 融资 / 担保 / 公司 / 管理 / 暂行 / 办法,北京市 / 融资 / 担保 / 公司 / 管理 / 暂行 / 办法,N
时间性差异,时间性 / 差异,时间性 / 差异,Y
母子公司 资金 税,母子 / 公司 / 资金 / 税,母子公司 / 资金 / 税,N
竞业禁止 与 反不正当竞争法第二条,竞业 / 禁止 / 与 / 反 / 不 / 正当 / 竞争 / 法 / 第 / 二条,竞 / 业 / 禁止 / 与 / 反 / 不 / 正当 / 竞争法 / 第二 / 条,N
物业维修基金,物业 / 维修 / 基金,物业 / 维修 / 基金,Y
分公司的注册资本,分公司 / 的 / 注册 / 资本,分公司 / 的 / 注册资本,N
住房公积金 企业所得税,住房 / 公积金 / 企业 / 所得税,住房 / 公积金 / 企业 / 所得税,Y
固定资产 投资 所得税,固定 / 资产 / 投资 / 所得税,固定资产 / 投资 / 所得税,N
关于深入实施西部大开发战略有关税收政策问题的通知,关于 / 深入 / 实施 / 西部 / 大 / 开发 / 战略 / 有关 / 税收 / 政策 / 问题 / 的 / 通知,关于 / 深入 / 实施 / 西部 / 大 / 开发 / 战略 / 有关 / 税收 / 政策 / 问题 / 的 / 通知,Y
国税发[1997]198号,国 / 税发 / 1997 / 198 / 号,国税 / 发198 / 号,N
social insurance,SOCIAL / INSURANCE,SOCIAL / INSURANCE,Y
自理报检单位备案登记证明书,自理 / 报检 / 单位 / 备案 / 登记 / 证明书,自理 / 报 / 检 / 单位 / 备案 / 登记 / 证明书,N
财预 2012 40,财预 / 2012 / 40,财 / 预 / 2012 / 40,N
关于知识产权领域反垄断执法的指南,关于 / 知识 / 产权 / 领域 / 反 / 垄断 / 执法 / 的 / 指南,关于 / 知识 / 产权 / 领域 / 反 / 垄断 / 执法 / 的 / 指南,Y
大陆香港税收协定,大陆 / 香港 / 税收 / 协定,大陆 / 香港 / 税收 / 协定,Y
境外 股权转让,境外 / 股权 / 转让,境外 / 股权 / 转让,Y
增值税 员工福利费,增值税 / 员工 / 福利费,增值税 / 员工 / 福利费,Y
增值税 股息,增值税 / 股息,增值税 / 股息,Y
企业所得税 股息收入,企业 / 所得税 / 股息 / 收入,企业 / 所得税 / 股息 / 收入,Y
香港避免双从征税,香港 / 避免 / 双 / 从 / 征税,香港 / 避免 / 双 / 从 / 征税,Y
股息 香港,股息 / 香港,股息 / 香港,Y
企业所得税 香港中国 5%,企业 / 所得税 / 香港 / 中国 / 5%,企业 / 所得税 / 香港 / 中国 / 5,N
中国和香港关避免所得和财产,中国 / 和 / 香港 / 关 / 避免 / 所得 / 和 / 财产,中国 / 和 / 香港 / 关 / 避免 / 所得 / 和 / 财产,Y
香港 与 企业所得税) 与 5%,香港 / 与 / 企业 / 所得税 / 与 / 5%,香港 / 与 / 企业 / 所得税 / 与 / 5,N
国税函 2008 112号,国税函 / 2008 / 112 / 号,国税 / 函 / 2008 / 112 / 号,N
股息 深圳,股息 / 深圳,股息 / 深圳,Y
股权转让 房地产,股权 / 转让 / 房地产,股权 / 转让 / 房地产,Y
企业派息,企业 / 派息,企业 / 派 / 息,N
预收货款 券,预收 / 货款 / 券,预收 / 货款 / 券,Y
股息 企业所得税 香港,股息 / 企业 / 所得税 / 香港,股息 / 企业 / 所得税 / 香港,Y
股息 税收协定 中国与香港,股息 / 税收 / 协定 / 中国 / 与 / 香港,股息 / 税收 / 协定 / 中国 / 与 / 香港,Y
非居民企业 与 企业重组,非 / 居民 / 企业 / 与 / 企业 / 重组,非 / 居民 / 企业 / 与 / 企业重组,N
并购方式 所得税,并购 / 方式 / 所得税,并购 / 方式 / 所得税,Y
企业所得税 程序,企业 / 所得税 / 程序,企业 / 所得税 / 程序,Y
企业红利 股息,企业 / 红利 / 股息,企业 / 红利 / 股息,Y
内地香港避免,内地 / 香港 / 避免,内地 / 香港 / 避免,Y
企业所得税 合并的商誉,企业 / 所得税 / 合并 / 的 / 商誉,企业 / 所得税 / 合并 / 的 / 商誉,Y
股权并购的方法和步骤,股权 / 并购 / 的 / 方法 / 和 / 步骤,股权 / 并购 / 的 / 方法 / 和 / 步骤,Y
企业股权投资业务,企业 / 股权 / 投资 / 业务,企业 / 股权 / 投资 / 业务,Y
国税发[1996]255号,国 / 税发 / 1996 / 255 / 号,国税 / 发255 / 号,N
"股息, 企业所得税",股息 / 企业 / 所得税,股息 / 企业 / 所得税,Y
非居民企业 定义,非 / 居民 / 企业 / 定义,非 / 居民 / 企业 / 定义,Y
税收5%,税收 / 5%,税收 / 5,N
居民企业收购居民企业 税务影响,居民 / 企业 / 收购 / 居民 / 企业 / 税务 / 影响,居民 / 企业 / 收购 / 居民 / 企业 / 税务 / 影响,Y
"股息, 企业所得税, 科技",股息 / 企业 / 所得税 / 科技,股息 / 企业 / 所得税 / 科技,Y
股息税义务,股息 / 税 / 义务,股息 / 税 / 义务,Y
企业所得税实施条例 预提所得税,企业 / 所得税 / 实施 / 条例 / 预提 / 所得税,企业 / 所得税 / 实施 / 条例 / 预 / 提 / 所得税,N
承担债务 并购,承担 / 债务 / 并购,承担 / 债务 / 并购,Y
工资、薪金所得徵收范围,工资 / 薪金 / 所得 / 征收 / 范围,工资 / 薪金 / 所得 / 征收 / 范围,Y
企业并,企业 / 并,企业 / 并,Y
关于企业重组 合并,关于 / 企业 / 重组 / 合并,关于 / 企业重组 / 合并,N
深圳企业重组,深圳 / 企业 / 重组,深圳 / 企业重组,N
转让股权清算,转让 / 股权 / 清算,转让 / 股权 / 清算,Y
境内企业并购方式,境内 / 企业 / 并购 / 方式,境内 / 企业 / 并购 / 方式,Y
合并 股权置换 税务,合并 / 股权 / 置换 / 税务,合并 / 股权 / 置换 / 税务,Y
现金购买 合并 税务,现金 / 购买 / 合并 / 税务,现金 / 购买 / 合并 / 税务,Y
境外并购境内企业,境外 / 并购 / 境内 / 企业,境外 / 并购 / 境内 / 企业,Y
企业股息分配,企业 / 股息 / 分配,企业 / 股息 / 分配,Y
股息分配 代扣代缴 企业所得税,股息 / 分配 / 代扣 / 代缴 / 企业 / 所得税,股息 / 分配 / 代 / 扣 / 代 / 缴 / 企业 / 所得税,N
税率5%,税率 / 5%,税率 / 5,N
独立法人的增值税征收管理,独立 / 法人 / 的 / 增值税 / 征收 / 管理,独立 / 法人 / 的 / 增值税 / 征收 / 管理,Y
劳动保护支出 扣除范围,劳动 / 保护 / 支出 / 扣除 / 范围,劳动 / 保护 / 支出 / 扣除 / 范围,Y
税收程序,税收 / 程序,税收 / 程序,Y
超市开具增值税专用发票,超市 / 开具 / 增值税 / 专用 / 发票,超市 / 开具 / 增值税 / 专用 / 发票,Y
企业并购主体,企业 / 并购 / 主体,企业 / 并购 / 主体,Y
资产并购的税务处理,资产 / 并购 / 的 / 税务 / 处理,资产 / 并购 / 的 / 税务 / 处理,Y
产权转让关于企业所得税,产权 / 转让 / 关于 / 企业 / 所得税,产权转让 / 关于 / 企业 / 所得税,N
经济特区 股息,经济 / 特区 / 股息,经济特区 / 股息,N
收购企业税,收购 / 企业 / 税,收购 / 企业 / 税,Y
增值税 预收货款纳税义务发生时间,增值税 / 预收 / 货款 / 纳税 / 义务 / 发生 / 时间,增值税 / 预收 / 货款 / 纳税义务 / 发生 / 时间,N
并购 亏损弥补,并购 / 亏损 / 弥补,并购 / 亏损 / 弥补,Y
员工福利 限额,员工 / 福利 / 限额,员工 / 福利 / 限额,Y
关于转让企业产权征收企业所得税,关于 / 转让 / 企业 / 产权 / 征收 / 企业 / 所得税,关于 / 转让 / 企业 / 产权 / 征收 / 企业 / 所得税,Y
"香港股权转让, 房地产",香港 / 股权 / 转让 / 房地产,香港 / 股权 / 转让 / 房地产,Y
併购 12.5%,并购 / 125%,并购 / 125,N
增值税暂行条例实施办法,增值税 / 暂行 / 条例 / 实施 / 办法,增值税 / 暂行 / 条例 / 实施 / 办法,Y
企业所得税计算方法,企业 / 所得税 / 计算 / 方法,企业 / 所得税 / 计算 / 方法,Y
国家税务总局关于加强,国家 / 税务 / 总局 / 关于 / 加强,国家 / 税务 / 总局 / 关于 / 加强,Y
履行 税务程序,履行 / 税务 / 程序,履行 / 税务 / 程序,Y
并购股权转让,并购 / 股权 / 转让,并购 / 股权 / 转让,Y
总局 企业兼并 税务影响,总局 / 企业 / 兼并 / 税务 / 影响,总局 / 企业 / 兼并 / 税务 / 影响,Y
企业重组转让不动产增值税,企业 / 重组 / 转让 / 不动产 / 增值税,企业重组 / 转让 / 不动产 / 增值税,N
企业重组转让不动产,企业 / 重组 / 转让 / 不动产,企业重组 / 转让 / 不动产,N
免所得税 合并,免 / 所得税 / 合并,免 / 所得税 / 合并,Y
增值 预售,增值 / 预售,增值 / 预售,Y
劳保用品 所得税,劳保 / 用品 / 所得税,劳保 / 用品 / 所得税,Y
增值税零售企业开具发票,增值税 / 零售 / 企业 / 开具 / 发票,增值税 / 零售 / 企业 / 开具 / 发票,Y
"股息红利 ""程序"" 税务",股息 / 红利 / 程序 / 税务,股息 / 红利 / 程序 / 税务,Y
企业所得税 居民企业 股权转让所得,企业 / 所得税 / 居民 / 企业 / 股权 / 转让 / 所得,企业 / 所得税 / 居民 / 企业 / 股权 / 转让 / 所得,Y
涉税风险,涉税 / 风险,涉 / 税 / 风险,N
独立核算门市部,独立 / 核算 / 门市部,独立 / 核算 / 门市部,Y
开具发票的内容对公司的影响,开具 / 发票 / 的 / 内容 / 对 / 公司 / 的 / 影响,开具 / 发票 / 的 / 内容 / 对 / 公司 / 的 / 影响,Y
合并 企业所得税,合并 / 企业 / 所得税,合并 / 企业 / 所得税,Y
"併购, 债",并购 / 债,并购 / 债,Y
增值税零售企业不开具发票的税务处理,增值税 / 零售 / 企业 / 不 / 开具 / 发票 / 的 / 税务 / 处理,增值税 / 零售 / 企业 / 不 / 开具 / 发票 / 的 / 税务 / 处理,Y
企业资产收购,企业 / 资产 / 收购,企业 / 资产 / 收购,Y
债权併购,债权 / 并购,债权 / 并购,Y
居民企业之间 股权转让,居民 / 企业 / 之间 / 股权 / 转让,居民 / 企业 / 之间 / 股权 / 转让,Y
增值税 销售 税收风险,增值税 / 销售 / 税收 / 风险,增值税 / 销售 / 税收 / 风险,Y
企业并购形式,企业 / 并购 / 形式,企业 / 并购 / 形式,Y
会计 虚开发票,会计 / 虚开 / 发票,会计 / 虚 / 开发票,N
特殊税务处理 企业所得税,特殊 / 税务 / 处理 / 企业 / 所得税,特殊 / 税务 / 处理 / 企业 / 所得税,Y
虚开发票 犯罪,虚开 / 发票 / 犯罪,虚 / 开发票 / 犯罪,N
发票填开,发票 / 填 / 开,发票 / 填 / 开,Y
企业所得税法 企业重组,企业 / 所得税 / 法 / 企业 / 重组,企业 / 所得税法 / 企业重组,N
股权转让所得 企业,股权 / 转让 / 所得 / 企业,股权 / 转让 / 所得 / 企业,Y
收购 公允价值,收购 / 公允 / 价值,收购 / 公允 / 价值,Y
10% 预提税,10% / 预提 / 税,10 / 预 / 提 / 税,N
10% 企业所得税 预提,10% / 企业 / 所得税 / 预提,10 / 企业 / 所得税 / 预 / 提,N
境内子公司 所得税,境内 / 子公司 / 所得税,境内 / 子公司 / 所得税,Y
外商投资企业预提所得税,外商 / 投资 / 企业 / 预提 / 所得税,外商 / 投资 / 企业 / 预 / 提 / 所得税,N
劳保用品费用的扣除,劳保 / 用品 / 费用 / 的 / 扣除,劳保 / 用品 / 费用 / 的 / 扣除,Y
增值税 暂行条例实施细则,增值税 / 暂行 / 条例 / 实施 / 细则,增值税 / 暂行 / 条例 / 实施 / 细则,Y
企业股权转让价格,企业 / 股权 / 转让 / 价格,企业 / 股权 / 转让 / 价格,Y
二则是购买该项股权时向该股权,二 / 则 / 是 / 购买 / 该 / 项 / 股权 / 时 / 向 / 该 / 股权,二则 / 是 / 购买 / 该项 / 股 / 权时 / 向 / 该 / 股权,N
股权转让的计算方法,股权 / 转让 / 的 / 计算 / 方法,股权 / 转让 / 的 / 计算 / 方法,Y
三费在税前的扣除,三费 / 在 / 税前 / 的 / 扣除,三 / 费 / 在 / 税 / 前 / 的 / 扣除,N
则应当按照每次投入资本当日的汇率换算成首次投资时的币,则 / 应当 / 按照 / 每次 / 投入 / 资本 / 当日 / 的 / 汇率 / 换算 / 成 / 首次 / 投资 / 时 / 的 / 币,则 / 应当 / 按照 / 每次 / 投入资本 / 当日 / 的 / 汇率 / 换算 / 成 / 首 / 次 / 投资 / 时 / 的 / 币,N
吸收合併,吸收 / 合并,吸收 / 合并,Y
不动产对外投资,不动产 / 对外 / 投资,不动产 / 对外 / 投资,Y
会计 发票 内容,会计 / 发票 / 内容,会计 / 发票 / 内容,Y
中国移动充值卡,中国 / 移动 / 充值卡,中国 / 移动 / 充值卡,Y
企业併购方式影响,企业 / 并购 / 方式 / 影响,企业 / 并购 / 方式 / 影响,Y
三费在税前的扣除的限额,三费 / 在 / 税前 / 的 / 扣除 / 的 / 限额,三 / 费 / 在 / 税 / 前 / 的 / 扣除 / 的 / 限额,N
增值税缴纳范围,增值税 / 缴纳 / 范围,增值税 / 缴纳 / 范围,Y
职工福利费在税前的扣除的限额,职工 / 福利费 / 在 / 税前 / 的 / 扣除 / 的 / 限额,职工 / 福利费 / 在 / 税 / 前 / 的 / 扣除 / 的 / 限额,N
《增值税暂行条例》 第一条 规定，,增值税 / 暂行 / 条例 / 第 / 一 / 条 / 规定,增值税 / 暂行 / 条例 / 第一 / 条 / 规定,N
营业税 与 股权转让 与 收购股权 与 股权 与 现行有效 与 全国,营业税 / 与 / 股权 / 转让 / 与 / 收购 / 股权 / 与 / 股权 / 与 / 现行 / 有效 / 与 / 全国,营业税 / 与 / 股权 / 转让 / 与 / 收购 / 股权 / 与 / 股权 / 与 / 现行 / 有效 / 与 / 全国,Y
企业所得税 管理费用,企业 / 所得税 / 管理 / 费用,企业 / 所得税 / 管理费用,N
企业销售商品同时满足下列条件的，应确认收入的实现：1.商品销售合同已经签订，企业,企业 / 销售 / 商品 / 同时 / 满足 / 下列 / 条件 / 的 / 应 / 确认 / 收入 / 的 / 实现 / 1 / 商品 / 销售 / 合同 / 已经 / 签订 / 企业,企业 / 销售 / 商品 / 同时 / 满足 / 下列 / 条件 / 的 / 应 / 确认 / 收入 / 的 / 实现 / 1商品 / 销售 / 合同 / 已经 / 签订 / 企业,N
企业所得税前费用扣除,企业 / 所得 / 税前 / 费用 / 扣除,企业 / 所得税 / 前 / 费用 / 扣除,N
集团内部资产划转,集团 / 内部 / 资产 / 划转,集团 / 内部 / 资产 / 划 / 转,N
并购方式选择,并购 / 方式 / 选择,并购 / 方式 / 选择,Y
关于取缔非法金融机构和非法金融业务活动中有关问题的通知,关于 / 取缔 / 非法 / 金融 / 机构 / 和 / 非法 / 金融 / 业务 / 活动 / 中 / 有关 / 问题 / 的 / 通知,关于 / 取缔 / 非法 / 金融 / 机构 / 和 / 非法 / 金融 / 业务 / 活动 / 中 / 有关 / 问题 / 的 / 通知,Y
非居民企业 营业税,非 / 居民 / 企业 / 营业税,非 / 居民 / 企业 / 营业税,Y
internal revenue code,INTERNAL / REVENUE / CODE,INTERNAL / REVENUE / CODE,Y
金融资产 税前扣除,金融 / 资产 / 税前 / 扣除,金融 / 资产 / 税 / 前 / 扣除,N
个人所得税 分支机构,个人 / 所得税 / 分支 / 机构,个人所得税 / 分支 / 机构,N
个人所得税 社保,个人 / 所得税 / 社保,个人所得税 / 社保,N
进料成品 退回,进料 / 成品 / 退回,进料 / 成品 / 退回,Y
社会保险 异地 缴纳,社会 / 保险 / 异地 / 缴纳,社会保险 / 异地 / 缴纳,N
北大方正电子 侵犯著作权,北大 / 方正 / 电子 / 侵犯 / 着 / 作权,北 / 大方 / 正电子 / 侵犯 / 着 / 作 / 权,N
配电 产权,配电 / 产权,配电 / 产权,Y
出口退税 39号文,出口 / 退税 / 39 / 号 / 文,出口 / 退税 / 39 / 号 / 文,Y
不得另行收取与供配电设施建设工程相关的费用,不得 / 另行 / 收取 / 与 / 供 / 配电 / 设施 / 建设 / 工程 / 相关 / 的 / 费用,不得 / 另行 / 收取 / 与 / 供 / 配电 / 设施 / 建设 / 工程 / 相关 / 的 / 费用,Y
工业园区 配电设施,工业 / 园区 / 配电 / 设施,工业园区 / 配电 / 设施,N
漏项,漏项,漏 / 项,N
和孚镇,和 / 孚镇,和 / 孚 / 镇,N
增资 资金来源,增资 / 资金 / 来源,增资 / 资金 / 来源,Y
个人所得税 来源于中国 所得,个人 / 所得税 / 来源于 / 中国 / 所得,个人所得税 / 来源于 / 中国 / 所得,N
关于保险兼业代理有关问题的通知,关于 / 保险 / 兼业 / 代理 / 有关 / 问题 / 的 / 通知,关于 / 保险 / 兼 / 业 / 代理 / 有关 / 问题 / 的 / 通知,N
工商总局公告/命令 与 17,工商 / 总局 / 公告 / 命令 / 与 / 17,工商 / 总局 / 公告 / 命令 / 与 / 17,Y
境内个人 境外投资,境内 / 个人 / 境外 / 投资,境内 / 个人 / 境外 / 投资,Y
证券公司 股权出质,证券 / 公司 / 股权 / 出质,证券 / 公司 / 股权 / 出质,Y
以现金结算的股权激励计划,以 / 现金 / 结算 / 的 / 股权 / 激励 / 计划,以 / 现金 / 结算 / 的 / 股权激励 / 计划,N
食品行业 卡,食品 / 行业 / 卡,食品 / 行业 / 卡,Y
排水许可 管理办法,排水 / 许可 / 管理 / 办法,排水 / 许可 / 管理 / 办法,Y
所在地县级 与 主管部门,所在地 / 县 / 级 / 与 / 主管 / 部门,所在地 / 县级 / 与 / 主管 / 部门,N
预告登记 抵押权,预告 / 登记 / 抵押 / 权,预告 / 登记 / 抵押权,N
外商投资企业 变更,外商 / 投资 / 企业 / 变更,外商 / 投资 / 企业 / 变更,Y
纳税主体的确定——承包,纳税 / 主体 / 的 / 确定 / 承包,纳税 / 主体 / 的确 / 定 / 承包,N
关于促进下岗失业人员再就业税收政策具体实施意见的通知,关于 / 促进 / 下岗 / 失业 / 人员 / 再就业 / 税收 / 政策 / 具体 / 实施 / 意见 / 的 / 通知,关于 / 促进 / 下岗 / 失业 / 人员 / 再 / 就业 / 税收 / 政策 / 具体 / 实施 / 意见 / 的 / 通知,N
纳入试点范围,纳入 / 试点 / 范围,纳入 / 试点 / 范围,Y
北京市财政性资金管理分局统筹运用有偿分配财政性资金暂行办法,北京 / 市 / 财政性 / 资金 / 管理 / 分局 / 统筹 / 运用 / 有偿 / 分配 / 财政性 / 资金 / 暂行 / 办法,北京市 / 财政性 / 资金 / 管理 / 分局 / 统筹 / 运用 / 有偿 / 分配 / 财政性 / 资金 / 暂行 / 办法,N
诺丁汉,诺丁汉,诺丁汉,Y
"企业 以非资产 所得税, 企业所得税 以非资产 所得税",企业 / 以 / 非 / 资产 / 所得税 / 企业 / 所得税 / 以 / 非 / 资产 / 所得税,企业 / 以 / 非 / 资产 / 所得税 / 企业 / 所得税 / 以 / 非 / 资产 / 所得税,Y
同城票据交换,同城 / 票据 / 交换,同 / 城 / 票据 / 交换,N
联合 学院,联合 / 学院,联合 / 学院,Y
"香港特别行政区筹备, ""香港特别行政区筹备",香港 / 特别 / 行政区 / 筹备 / 香港 / 特别 / 行政区 / 筹备,香港 / 特别 / 行政区 / 筹备 / 香港 / 特别 / 行政区 / 筹备,Y
营业税暂行条例 非 实施细则,营业税 / 暂行 / 条例 / 非 / 实施 / 细则,营业税 / 暂行 / 条例 / 非 / 实施 / 细则,Y
商场 促销,商场 / 促销,商场 / 促销,Y
北京 优先 承租权,北京 / 优先 / 承租 / 权,北京 / 优先 / 承租 / 权,Y
"广告法, 饮料",广告法 / 饮料,广告法 / 饮料,Y
863计划,863 / 计划,863 / 计划,Y
公司治理 人事 税务,公司 / 治理 / 人事 / 税务,公司 / 治理 / 人事 / 税务,Y
广州增加经营范围,广州 / 增加 / 经营 / 范围,广州 / 增加 / 经营 / 范围,Y
技术交易 营业税退税,技术 / 交易 / 营业税 / 退税,技术 / 交易 / 营业税 / 退税,Y
江苏省 境外投资暂行规定,江苏 / 省 / 境外 / 投资 / 暂行 / 规定,江苏省 / 境外 / 投资 / 暂行 / 规定,N
财税 46号,财税 / 46 / 号,财税 / 46 / 号,Y
"许可证, 金, 镍铁",许可证 / 金 / 镍 / 铁,许可证 / 金 / 镍 / 铁,Y
"半精炼, 食用",半 / 精炼 / 食用,半 / 精炼 / 食用,Y
"不得, 实物, 股利",不得 / 实物 / 股利,不得 / 实物 / 股利,Y
商标法实施细则 地名,商标法 / 实施 / 细则 / 地名,商标法 / 实施 / 细则 / 地名,Y
外汇 信托 试点,外汇 / 信托 / 试点,外汇 / 信托 / 试点,Y
广东省专利产品税收优惠政策实施办法,广东 / 省 / 专利 / 产品 / 税收 / 优惠 / 政策 / 实施 / 办法,广东省 / 专利 / 产品 / 税收优惠 / 政策 / 实施 / 办法,N
股权转让 评估,股权 / 转让 / 评估,股权 / 转让 / 评估,Y
非金融资产管理公司,非 / 金融 / 资产 / 管理 / 公司,非金融 / 资产 / 管理 / 公司,N
房地产 建筑,房地产 / 建筑,房地产 / 建筑,Y
案,案,案,Y
导管公司,导管 / 公司,导管 / 公司,Y
施工许可证,施工 / 许可证,施工 / 许可证,Y
关于国际运输劳务免征营业税的通知,关于 / 国际 / 运输 / 劳务 / 免征 / 营业税 / 的 / 通知,关于 / 国际 / 运输 / 劳务 / 免征 / 营业税 / 的 / 通知,Y
保密义务,保密 / 义务,保密 / 义务,Y
外商投资财产鉴定管理办法,外商 / 投资 / 财产 / 鉴定 / 管理 / 办法,外商 / 投资 / 财产 / 鉴定 / 管理 / 办法,Y
成品油消费税,成品油 / 消费 / 税,成品油 / 消费税,N
建筑业,建筑业,建筑业,Y
征管法实施细则,征管法 / 实施 / 细则,征管法 / 实施 / 细则,Y
企业所得税 预缴,企业 / 所得税 / 预缴,企业 / 所得税 / 预缴,Y
财税[2010]4号,财税 / 2010 / 4 / 号,财税4 / 号,N
中华老字号,中华 / 老字号,中华 / 老字号,Y
最高人民法院关于审理外商投资企业纠纷案件若干问题的规定（一）,最高 / 人民 / 法院 / 关于 / 审理 / 外商 / 投资 / 企业 / 纠纷 / 案件 / 若干 / 问题 / 的 / 规定 / 一,最高 / 人民法院 / 关于 / 审理 / 外商 / 投资 / 企业 / 纠纷 / 案件 / 若干 / 问题 / 的 / 规定 / 一,N
清洁生产,清洁 / 生产,清洁生产,N
非居民企业 股权转让,非 / 居民 / 企业 / 股权 / 转让,非 / 居民 / 企业 / 股权 / 转让,Y
医疗贿赂,医疗 / 贿赂,医疗 / 贿赂,Y
关于企业职工流动若干问题的通知,关于 / 企业 / 职工 / 流动 / 若干 / 问题 / 的 / 通知,关于 / 企业 / 职工 / 流动 / 若干 / 问题 / 的 / 通知,Y
企业内部控制,企业 / 内部 / 控制,企业 / 内部 / 控制,Y
污水处理厂,污水 / 处理 / 厂,污水 / 处理厂,N
外籍个人所得,外籍 / 个人 / 所得,外籍 / 个人所得,N
居间,居间,居间,Y
确实无法支付,确实 / 无法 / 支付,确实 / 无法 / 支付,Y
网络游戏管理暂行办法,网络 / 游戏 / 管理 / 暂行 / 办法,网络 / 游戏 / 管理 / 暂行 / 办法,Y
外国,外国,外国,Y
外出经营,外出 / 经营,外出 / 经营,Y
质量鉴定,质量 / 鉴定,质量 / 鉴定,Y
变更劳动合同,变更 / 劳动 / 合同,变更 / 劳动 / 合同,Y
国家税务总局关于印花税若干具体问题的规定,国家 / 税务 / 总局 / 关于 / 印花税 / 若干 / 具体 / 问题 / 的 / 规定,国家 / 税务 / 总局 / 关于 / 印花税 / 若干 / 具体 / 问题 / 的 / 规定,Y
关于阿里巴巴（中国）网络技术有限公司雇员非上市公司股票期权所得个人所得税问题的批复,关于 / 阿里巴巴 / 中国 / 网络 / 技术 / 有限 / 公司 / 雇员 / 非 / 上市 / 公司 / 股票 / 期权 / 所得 / 个人 / 所得税 / 问题 / 的 / 批复,关于 / 阿里巴巴 / 中国 / 网络 / 技术 / 有限公司 / 雇员 / 非上市 / 公司 / 股票期权 / 所得 / 个人所得税 / 问题 / 的 / 批复,N
所在地外汇局,所在地 / 外汇局,所在地 / 外汇局,Y
探矿权采矿权使用费,探矿 / 权 / 采矿 / 权 / 使用费,探矿 / 权 / 采矿 / 权 / 使用费,Y
资源综合利用 税,资源 / 综合 / 利用 / 税,资源 / 综合 / 利用 / 税,Y
建筑安装发票,建筑 / 安装 / 发票,建筑 / 安装 / 发票,Y
国税发 2009 31,国 / 税发 / 2009 / 31,国税 / 发 / 2009 / 31,N
折扣 净额 发票,折扣 / 净额 / 发票,折扣 / 净额 / 发票,Y
购销合同 印花税,购销 / 合同 / 印花税,购销 / 合同 / 印花税,Y
建设工程勘察设计资质管理规定,建设 / 工程 / 勘察 / 设计 / 资质 / 管理 / 规定,建设 / 工程 / 勘察 / 设计 / 资质 / 管理 / 规定,Y
最高人民法院关于审理专利纠纷案件,最高 / 人民 / 法院 / 关于 / 审理 / 专利 / 纠纷 / 案件,最高 / 人民法院 / 关于 / 审理 / 专利 / 纠纷 / 案件,N
国税函〔2009〕98号,国税函 / 2009 / 98 / 号,国税 / 函 / 2009 / 98 / 号,N
公司登记管理规定,公司 / 登记 / 管理 / 规定,公司 / 登记 / 管理 / 规定,Y
十三薪,十三 / 薪,十三 / 薪,Y
关于审理专利纠纷案件适用法律问题的若干规定,关于 / 审理 / 专利 / 纠纷 / 案件 / 适用 / 法律 / 问题 / 的 / 若干 / 规定,关于 / 审理 / 专利 / 纠纷 / 案件 / 适用 / 法律 / 问题 / 的 / 若干 / 规定,Y
综合计算工时制,综合 / 计算工 / 时制,综合 / 计算 / 工时 / 制,N
国家税务总局第19号令,国家 / 税务 / 总局 / 第 / 19 / 号令,国家 / 税务 / 总局 / 第 / 19 / 号令,Y
关于改进外商投资企业资本项目结汇审核与外债登记管理工作的通知,关于 / 改进 / 外商 / 投资 / 企业 / 资本 / 项目 / 结汇 / 审核 / 与 / 外债 / 登记 / 管理 / 工作 / 的 / 通知,关于 / 改进 / 外商 / 投资 / 企业 / 资本 / 项目 / 结汇 / 审核 / 与 / 外债 / 登记 / 管理 / 工作 / 的 / 通知,Y
